content_id,batch,sample_id,viral_type,sample_role,segment_count,duration_sec
7546212425998454074,batch_001,sample_01,COMMENT_HEAVY,ABSOLUTE_VIRAL,102,245.83
7647797848847439706,batch_001,sample_02,COMMENT_HEAVY,RELATIVE_BREAKOUT,99,170.2
7302348364815928612,batch_001,sample_03,UNKNOWN,EXTERNAL_DATA,111,205.37
7378948118584282394,batch_001,sample_04,SAVE_HEAVY,ABSOLUTE_VIRAL,493,617.28
7525683513706810682,batch_001,sample_05,COMMENT_HEAVY,ABSOLUTE_VIRAL,236,435.87
7543846940678589723,batch_001,sample_06,NULL,EXTERNAL_DATA,163,242.51
7591984049339256177,batch_001,sample_07,SAVE_HEAVY,ABSOLUTE_VIRAL,266,720.96
7599692006406786358,batch_001,sample_08,UNKNOWN,EXTERNAL_DATA,9,25.6
7600594940562173553,batch_001,sample_09,UNKNOWN,EXTERNAL_DATA,54,119.22
7600957703851148773,batch_001,sample_10,UNKNOWN,EXTERNAL_DATA,29,427.96
7601271873183404410,batch_001,sample_11,UNKNOWN,EXTERNAL_DATA,50,85.24
7605619626101298353,batch_001,sample_13,UNKNOWN,EXTERNAL_DATA,205,287.8
7612226417060793640,batch_001,sample_14,UNKNOWN,EXTERNAL_DATA,16,305.24
7615062854701905509,batch_001,sample_15,UNKNOWN,EXTERNAL_DATA,41,60.16
7615498586105512443,batch_001,sample_16,UNKNOWN,EXTERNAL_DATA,174,316.52
7616716621441157861,batch_001,sample_17,UNKNOWN,EXTERNAL_DATA,25,29.0
7617784493907141530,batch_001,sample_18,UNKNOWN,EXTERNAL_DATA,126,177.3
7623019373322111397,batch_001,sample_19,UNKNOWN,EXTERNAL_DATA,142,238.96
7637328690322049125,batch_001,sample_20,UNKNOWN,EXTERNAL_DATA,1,3.6
7660665426599452089,batch_001,sample_21,UNKNOWN,EXTERNAL_DATA,0,28.24
7672991243072616697,batch_001,sample_22,UNKNOWN,EXTERNAL_DATA,32,62.68
7680569771779521482,batch_001,sample_23,UNKNOWN,EXTERNAL_DATA,62,77.68
7680857899472843515,batch_001,sample_24,UNKNOWN,EXTERNAL_DATA,14,22.36
7682791681556548883,batch_001,sample_25,UNKNOWN,EXTERNAL_DATA,291,441.24
