content_id,title_or_first_line,text_chars,mechanical_topic_hit,obvious_off_topic,gate_status
6930801562751435267,待提取,0,,,TOPIC_REVIEW_REQUIRED
6979123251842957831,待提取,0,,,TOPIC_REVIEW_REQUIRED
7048926434592555558,待提取,1488,,"隔离,核酸,体育",OFF_TOPIC_MECHANICAL
7049600535418143270,待提取,1246,,"隔离,核酸,新冠,新冠病例",OFF_TOPIC_MECHANICAL
7187298184346206754,待提取,2148,,"外墙保温,保温层,EPS板,保温板",OFF_TOPIC_MECHANICAL
7618185265378640403,待提取,823,,,TOPIC_REVIEW_REQUIRED
7618556274149491219,待提取,1263,流量,,TOPIC_PASSED_MECHANICAL
7618573005362332196,待提取,589,,朋友,OFF_TOPIC_MECHANICAL
7671488207304868404,做自媒体最通透的几条真相，普通人一定要看懂,94,自媒体,,TOPIC_PASSED_MECHANICAL
7677915384284037651,待提取,1346,"商业,消费",,TOPIC_PASSED_MECHANICAL
7678657654369141289,待提取,165,,,TOPIC_REVIEW_REQUIRED
7680513034233676323,待提取,3291,,,TOPIC_REVIEW_REQUIRED
7681510302478942759,跑马一时爽，指甲废半年，这次我真的怂了,625,,,TOPIC_REVIEW_REQUIRED
7683110588213363240,待提取,3864,,,TOPIC_REVIEW_REQUIRED
7683168637653598759,为什么普通人很难实现阶层跨越？,634,低成本,,TOPIC_PASSED_MECHANICAL
7683548929375339037,跑步与人生：别用别人的配速，跑自己的马拉松,1073,,,TOPIC_REVIEW_REQUIRED
7684096740282171948,怎么有人会如此执念呢？我感觉我老婆就是个大傻子,920,,,TOPIC_REVIEW_REQUIRED
7684223864338924073,待提取,3625,消费,,TOPIC_PASSED_MECHANICAL
7684362605640647222,32026服贸会 “新”在何处,183,,新闻,OFF_TOPIC_MECHANICAL
7684447381258666559,习近平离京赴新德里出席金砖峰会,128,,政治,OFF_TOPIC_MECHANICAL
