platform,account_name,followers_shown,location_or_ip_shown,main_selling_points,public_price,recent_30d_posts_est,profile_url,source_keywords,captured_at
douyin,94年小王｜盘锦初中晚自习托管,,,实验中学新初一家长注意；爱顿校区安可托管中心环境展示,,1,,医学中心实验学校 托管,2026-09-15T23:07:00-07:00
douyin,万小妹,,,济南最美学校，绿城育华杨柳春风学校食堂；一蔬一饭藏教养,,0,,杨柳春风学校 托管,2026-09-15T23:07:00-07:00
douyin,东街小学欣悦托辅,,,托管班大门已敞开，等待热爱学习的小小探索者 #开学季 #招生季,,1,,营市东街小学 托管,2026-09-15T23:07:00-07:00
douyin,乐思托辅,,,实验中学校区托管，只有12个床位，招满即可,,0,,医学中心实验学校 托管,2026-09-15T23:07:00-07:00
douyin,乐恩托管,,,每一刻都值得被记录 #泉海学校 #乐恩托管 #晚辅日常,,1,,泉海学校 托管,2026-09-15T23:07:00-07:00
douyin,云朵中心,,,开学前一天校区安全、卫生标准讲解,,1,,医学中心实验学校 托管,2026-09-15T23:07:00-07:00
douyin,六六托管中心闫老师🙋（高端，专业）,,,#托管 #济南；一心只做托管，用心用爱撑起托管的孩子！,,0,,西客站托管,2026-09-15T23:07:00-07:00
douyin,努力的龙,,,谁家托管点100杯果汁啊 #托管班 #托管上班日常,,1,,泉景托管,2026-09-15T23:07:00-07:00
douyin,十七小学繁星托管,,,开学两个星期了；做托管的是良心，尽心即可,,1,,杨柳春风学校 托管,2026-09-15T23:07:00-07:00
douyin,博尔安亲托管中心官方号,,,专业托管用心让家长放心 #作业辅导 #课后服务,,0,,医学中心实验学校 托管,2026-09-15T23:07:00-07:00
douyin,壹心托管济南校区,1797,,爱有温度，行有尺度；心存敬畏，事求极致。壹心托管胜利大街校区正式启航,,0,https://www.douyin.com/user/MS4wLjABAAAAaUBMtA-9SvagxcGJfXlgx1eQ3S1oGfkTKxnmmtUJdH8MPRQLIdeQwSV6JfHrTsaO,医学中心实验学校 托管|槐荫区实验学校 托管|泉新学校 托管|泉景托管|泉海学校 托管|济南小饭桌|济南托管|西客站托管,2026-09-15T23:07:00-07:00
douyin,大明湖的夏耦合,,,学校有配餐的建议二年级再去吃，小饭桌是刚需，但行业错综复杂。,,0,,济南小饭桌,2026-09-15T23:07:00-07:00
douyin,天朗气清,,,#新学期 #托管 #一切为了孩子 #学习 #见证成长,,0,,泉景托管,2026-09-15T23:07:00-07:00
douyin,天空教育官方号,855,,济南市中区和槐荫区12年教培托管；午托、晚托、美术、书法；服务上万客户,,0,https://www.douyin.com/user/MS4wLjABAAAAXB6u9Hfgy265b-Mn1mEsIIVncQ4_dyG7QwwDnkZFA4k8oZj5KjMFIr9tnef-3bwX,槐荫托管,2026-09-15T23:07:00-07:00
douyin,安馨托教｜西站路小学 52中午晚托,,,@安馨托教｜西站路小学 52中午晚托,,1,,西客站托管,2026-09-15T23:07:00-07:00
douyin,小星星学堂【优优老师】,,,#实验中学 #实验托管 #托管日常,,0,,槐荫区实验学校 托管,2026-09-15T23:07:00-07:00
douyin,开托管的80后,,,托管招生 #托管,,0,,槐荫托管,2026-09-15T23:07:00-07:00
douyin,彩虹泡泡教育管家,,,济南儿童成长陪伴师 #济南 #儿童成长陪伴 #女性创业,,0,,济南托管,2026-09-15T23:07:00-07:00
douyin,悦维美刻托管济南站,,,像这样的品牌托管今年就会开在济南各个中学门口 #中学生托管中心 #济南中学生托管,,0,,济南托管,2026-09-15T23:07:00-07:00
douyin,成立志,,,志立成长中心开始招生；自理、自立，做真教育,,1,,医学中心实验学校 托管,2026-09-15T23:07:00-07:00
douyin,新智托管,,,托管老师日常：接娃、维持秩序、订正错题，沉浸式辅导,,1,,泉新学校 托管,2026-09-15T23:07:00-07:00
douyin,李星野,,,用心、长久、安全；靠实打实的口碑积累记录托管校区成长,,0,,营市东街小学 托管,2026-09-15T23:07:00-07:00
douyin,泉海托管,,,济南泉海学校附近专业托辅 #托管 #泉海学校 #素养课堂,,0,,泉海学校 托管,2026-09-15T23:07:00-07:00
douyin,济南书墨托管李老师,3741,,20年儿童教育；中小学精品托管；辅导过济南中小学生；有温度的托管班,,0,https://www.douyin.com/user/MS4wLjABAAAA-XE1-eX-ShMbHMdNFxFd9rBmyxb8UFySlyvYsFcyC7Y,济南托管,2026-09-15T23:07:00-07:00
douyin,济南书法飒老师,,,开学第一天 #新学期托管 #缘承托管 #专业晚辅 #济南托管 #西客站,,1,,西客站托管,2026-09-15T23:07:00-07:00
douyin,济南卓安官方号,,,#济南托管 #小班托管 #济南同城 #卓安 #课后陪伴,,1,,槐荫托管,2026-09-15T23:07:00-07:00
douyin,济南卓阳优托,1306,,天桥区老牌托管；专业师资；暖心托管；靠谱托管让家长安心,,0,https://www.douyin.com/user/MS4wLjABAAAASnqzITf1VyCBa2Zt-mgaoo74JTZhRMAiU4ZJRv3aLisQNv22w9uf_T6HpiZuL1BM,济南托管,2026-09-15T23:07:00-07:00
douyin,济南天才自助餐托管中心,,,把饭做好，孩子吃饱，家长认可，这就是口碑 #托管用餐 #学生餐,,0,,济南小饭桌,2026-09-15T23:07:00-07:00
douyin,济南学成课后中心,1109,,在济南开托管10年的老托管人；两家校区，经五路+万科城；欢迎参观咨询,,0,https://www.douyin.com/user/MS4wLjABAAAApCAPQqLg4mwNCO4t_btg-aiUQrs7ioXegGPVB0vyZ5o,济南托管,2026-09-15T23:07:00-07:00
douyin,济南市快乐助学坊成长中心～李老师,,,济南家长圈有口皆碑！19年0投诉托管班；接娃+辅导+晚餐全包 #济南托管 #快乐助学坊,,0,,槐荫区实验学校 托管|泉新学校 托管|泉景托管|济南小饭桌|济南托管|西客站托管,2026-09-15T23:07:00-07:00
douyin,济南市槐荫区惠心托管中心,451,,幼儿园园长转型；多年幼教管理；懂教育、懂孩子、重安全；800㎡空间,,1,https://www.douyin.com/user/MS4wLjABAAAAWdUDcQpSeHIiHy_bMc9BwZSfsRjrQaxuhgvih2V3S4Y,槐荫托管,2026-09-15T23:07:00-07:00
douyin,济南慧学优安托,2135,,高端托管；15年教育旅程；教育理念与托管日常；梦想乐园,,0,https://www.douyin.com/user/MS4wLjABAAAAM2VEn5oqax3vnF-X5IwPw3smJq6p-MZ-o4l85pRh4Pp8cWyB9FDqPynHIeJtIwyI,济南托管,2026-09-15T23:07:00-07:00
douyin,济南托管王校长,1854,,教育从业20年；专业晚辅、培优、午餐午休；从小托管做成百人大校,,0,https://www.douyin.com/user/MS4wLjABAAAAVt6NUO0w1inbThSBgrXFgWmgQNMAMm2EDy2CASLfO-E,济南托管,2026-09-15T23:07:00-07:00
douyin,济南托管郑老师,,,#济南 #济南托管 #济南托管郑老师 #济南托管哪家好？ 来看看投资400万托管的秘密吧,,0,,济南托管,2026-09-15T23:07:00-07:00
douyin,济南托管高老师,2096,,十几年经验；小学生午托、晚托；习惯培养，不只接送、吃饭、写作业,,0,https://www.douyin.com/user/MS4wLjABAAAAIYA9gydLiokUYk3crHxZ2YAhhh7ewb0WkYC23gR4gZo,济南托管,2026-09-15T23:07:00-07:00
douyin,济南无忧托管,152,,托您所爱、管您所忧；胜利大街小学托管,,0,https://www.douyin.com/user/MS4wLjABAAAAvmz3VbMJzu2DRKl8OecxleSbqSjlnDL1AHdLw67dLxM,济南托管,2026-09-15T23:07:00-07:00
douyin,济南杨柳春风（正信置业）,,,#小春风播报 #名校；学校师资水平介绍,,0,,杨柳春风学校 托管,2026-09-15T23:07:00-07:00
douyin,济南槐荫123托管成长中心,0,,8年小学托管；作业辅导、安全接送、营养晚餐、书法/阅读作文/英语启蒙,,0,https://www.douyin.com/user/MS4wLjABAAAAVEn7Mb8t2LbYbQ2XMsDXYbOtVqM6uIGEdX1hTCzzeZ9sF3SCZYh8-XTVlkdeKTU3,槐荫托管,2026-09-15T23:07:00-07:00
douyin,济南槐荫小火竹官方号,350,,00后美院本科生，四年托管经验，23岁孤注一掷，耗资百万打造槐荫托管天花板！#高端托管中心 #小学生托管 #作业辅导托管,,0,https://www.douyin.com/user/MS4wLjABAAAAH3zONTSzG-Yo8-aLh505CHGPCjQ44e6T_8Q8vtbdbHffbHdReSXOvN7aCEXuBK,槐荫区实验学校 托管|槐荫托管|济南托管,2026-09-15T23:07:00-07:00
douyin,济南槐荫顺馨教育,477,,午餐午休、晚托作业、习惯养成、周末/假期托管,,0,https://www.douyin.com/user/MS4wLjABAAAAlHNe8n-9xHljuFjafYgSaoFNlWudMuYbIYEXVVCPHMs,槐荫托管,2026-09-15T23:07:00-07:00
douyin,济南老董,,,上小学了要不要报小饭桌？家长经验分享 #济南小学 #济南小饭桌,,0,,济南小饭桌,2026-09-15T23:07:00-07:00
douyin,济南蜗牛等等托育服务有限公司,2117,,济南托育示范点；自然教育；招生0-4岁,,0,https://www.douyin.com/user/MS4wLjABAAAAx9hspCfPAWOr_cphRDSG9euBmHM_IAgEr8iabDWpv7AbgwPHaeSuQdx_GjNhyMXa,济南托管,2026-09-15T23:07:00-07:00
douyin,省实验校内王老师,,,开学了！#济南 #小饭桌 #日常 #vlog,,2,,济南小饭桌|济南托管,2026-09-15T23:07:00-07:00
douyin,章丘托管金八力刘笑,,,退让换来的是无底线的伤害，这次我一定刚到底！#章丘托管 #章丘托管班,,1,,济南托管,2026-09-15T23:07:00-07:00
douyin,精心托管槐荫区医学中心小学宸园北区12号,,,精心托管新校区已规整完毕，地址：宸园北区12-2-101，静候小朋友归来,,2,,槐荫托管,2026-09-15T23:07:00-07:00
douyin,美吉精品托管,,,七里河区西站美吉精品托管火热招生中,,0,,西客站托管,2026-09-15T23:07:00-07:00
douyin,老谢家的二姑娘,,,一日托管流程，期待更多的宝贝加入我们 #托管,,1,,营市东街小学 托管,2026-09-15T23:07:00-07:00
douyin,花锦时代,1,,槐荫实验学校附近晚辅：20人以下小班、作业全查、错题精讲、接送方便、健康晚餐；原价880元/月，前10名首月减100元，39.9元体验3天含晚餐,880元/月,1,https://www.douyin.com/user/MS4wLjABAAAAPJ3lf0Jz5HvHFxnqgUtQkrwjiIGy7VyZ8DqxCHK6gjeHBgWjC_IgmDr3PMkR1Qzq,槐荫区实验学校 托管,2026-09-15T23:07:00-07:00
douyin,萌雅童乐托管,234,,原槐荫区营市街幼儿园；普惠、传统文化、鼓乐、书法、棋类等,,0,https://www.douyin.com/user/MS4wLjABAAAAGhzQAX8Wg_JxYiCpwrDq2J01qUtQjHFgtCQtHAh5TpPfZGu35AL3KWgCMKZSkiwG,槐荫托管|营市东街小学 托管,2026-09-15T23:07:00-07:00
douyin,营东小学天天托管来啦,,,#新学期新开始 #托管 招生啦,,0,,营市东街小学 托管,2026-09-15T23:07:00-07:00
douyin,诺德城依春然托管,,,关于依春然；托管班、小饭桌、小学,,0,,杨柳春风学校 托管,2026-09-15T23:07:00-07:00
douyin,贝尔优能任兴校区,,,实验学校附近报托管就找王老师；专业、更靠谱,,0,,槐荫区实验学校 托管,2026-09-15T23:07:00-07:00
douyin,贝尔安亲课后托管加盟,,,实地探访，学期收费17800元的托管；托管收费与餐食探店,17800元,0,,西客站托管,2026-09-15T23:07:00-07:00
douyin,郑老师教育,6191,,30+分校；分享幼升小、小升初、中高考择校规划、政策解读、真题干货,,0,https://www.douyin.com/user/MS4wLjABAAAAdArEeYtGLBCQbbkSqrb0f3Y1yA9oXFc9VNsxCSjRzYynuKGtkqvsk8zauvz-fK8S,济南托管,2026-09-15T23:07:00-07:00
douyin,长清恒大育贤博跃托管—李老师,,,好的习惯在日复一日的陪伴中悄然生根,,1,,杨柳春风学校 托管,2026-09-15T23:07:00-07:00
douyin,长清黑美人,,,长清一家做的非常好的托管，济南的都过来学习交流！#托管 #长清托管,,1,,济南托管,2026-09-15T23:07:00-07:00
douyin,静慧托管～雪婷,,,晚辅但不是普通晚辅；标准化流程、个性化一对一辅导,,0,,泉新学校 托管,2026-09-15T23:07:00-07:00
