platform,source_keyword,account_name,posted_at,duration,likes_shown,caption,public_price,captured_at
douyin,济南托管,济南托管郑老师,2025年1月17日,01:32,42,#济南 #济南托管 #济南托管郑老师 #济南托管哪家好？ 来看看投资400万托管的秘密吧,,2026-09-15T23:07:00-07:00
douyin,济南托管,济南市快乐助学坊成长中心～李老师,2025年3月20日,01:41,93,济南家长圈有口皆碑！19年0投诉托管班；接娃+辅导+晚餐全包 #济南托管 #快乐助学坊,,2026-09-15T23:07:00-07:00
douyin,济南托管,壹心托管济南校区,6月29日,00:50,10,爱有温度，行有尺度；心存敬畏，事求极致。壹心托管胜利大街校区正式启航,,2026-09-15T23:07:00-07:00
douyin,济南托管,章丘托管金八力刘笑,8月25日,02:26,456,退让换来的是无底线的伤害，这次我一定刚到底！#章丘托管 #章丘托管班,,2026-09-15T23:07:00-07:00
douyin,济南托管,济南槐荫小火竹官方号,5月13日,00:54,98,00后美院本科生，四年托管经验，23岁孤注一掷，耗资百万打造槐荫托管天花板！#高端托管中心 #小学生托管 #作业辅导托管,,2026-09-15T23:07:00-07:00
douyin,济南托管,长清黑美人,8月30日,03:31,240,长清一家做的非常好的托管，济南的都过来学习交流！#托管 #长清托管,,2026-09-15T23:07:00-07:00
douyin,济南托管,省实验校内王老师,8月22日,01:28,39,开学了！#济南 #小饭桌 #日常 #vlog,,2026-09-15T23:07:00-07:00
douyin,济南托管,彩虹泡泡教育管家,2025年3月13日,02:31,48,济南儿童成长陪伴师 #济南 #儿童成长陪伴 #女性创业,,2026-09-15T23:07:00-07:00
douyin,济南托管,悦维美刻托管济南站,2025年5月2日,00:54,20,像这样的品牌托管今年就会开在济南各个中学门口 #中学生托管中心 #济南中学生托管,,2026-09-15T23:07:00-07:00
douyin,槐荫托管,🌈俊霖托管🌈,8月20日,00:29,2,关于秋季晚辅，随便问 #秋季晚辅 #小学 #初中,,2026-09-15T23:07:00-07:00
douyin,槐荫托管,济南市槐荫区惠心托管中心,13小时前,00:55,6,一晃十五年过去了，这段时光里有收获，也有遗憾。,,2026-09-15T23:07:00-07:00
douyin,槐荫托管,开托管的80后,3月4日,图文,8,托管招生 #托管,,2026-09-15T23:07:00-07:00
douyin,槐荫托管,精心托管槐荫区医学中心小学宸园北区12号,8月27日,图文,2,精心托管新校区已规整完毕，地址：宸园北区12-2-101，静候小朋友归来,,2026-09-15T23:07:00-07:00
