unresolved_id,candidate_name,platform,platform_id,url,near_context,address,match_confidence,reason,source_type,screenshot_path,collected_at
unres_828e486d72,迪诺天才学习方法(槐荫校区),dianping,H7t52d8VHzGF40fm,https://www.dianping.com/shop/H7t52d8VHzGF40fm,营市东街小学 / 槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_2a9c38cbd7,大智教育·中学生全科辅导(槐荫分校),dianping,H5fLBkvuuGOGraOm,https://www.dianping.com/shop/H5fLBkvuuGOGraOm,营市东街小学 / 槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_2ac848b2a3,学无忧•学课优小初高一站式提升规划中心(和谐广场校区),dianping,G8P16WpsBSdpCaiZ,https://www.dianping.com/shop/G8P16WpsBSdpCaiZ,营市东街小学 / 槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_bed5f7999e,尚学教育·初高中1对1辅导,dianping,G7jtBBZ8DUPGQquJ,https://www.dianping.com/shop/G7jtBBZ8DUPGQquJ,营市东街小学 / 槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_1b1c5983a3,学易佳素质成长中心(连城国际校区),dianping,l5fFcNw9K37HVvwv,https://www.dianping.com/shop/l5fFcNw9K37HVvwv,槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_3aab6de9d8,朴新天材教育(槐荫校区),dianping,G4DAYApiVQZCmwtK,https://www.dianping.com/shop/G4DAYApiVQZCmwtK,槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_af5c442db2,励志文化培训学校,dianping,G7zHiFPttcZaKigR,https://www.dianping.com/shop/G7zHiFPttcZaKigR,槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_b6296e5910,汇文教育(槐荫校区),dianping,G9eP2eOXJCS5fsca,https://www.dianping.com/shop/G9eP2eOXJCS5fsca,槐荫区,,C,大众点评列表命中但主要为课后辅导/非强托管证据，或缺少地址；不并入确认机构,dianping_search_list,,2026-09-16T00:05:00-07:00
unres_47e5d76ba5,万小妹,douyin,douyin_comp_6ae68146b866dd83,,杨柳春风学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_e5923a0358,乐恩托管,douyin,douyin_comp_01154d76a09692b6,,泉海学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
