source_platform,merchant_id,merchant_name,target_school_context,distance_to_school,address,rating,review_count,price_per_person_rmb,hours,service_category,business_area,url,scrape_date,notes
dianping,H7t52d8VHzGF40fm,迪诺天才学习方法(槐荫校区),营市东街小学 / 槐荫区,,,,64,20,,课后辅导,五院,https://www.dianping.com/shop/H7t52d8VHzGF40fm,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,H5fLBkvuuGOGraOm,大智教育·中学生全科辅导(槐荫分校),营市东街小学 / 槐荫区,,,,15,,,课后辅导,西市场,https://www.dianping.com/shop/H5fLBkvuuGOGraOm,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,k7mlUtpnxRHO1aM7,小优伴学中小学智习托管中心,营市东街小学 / 槐荫区,距济南市槐荫人民医院住院部步行760m,道德街街道经四路598-5号,,,,,自习室；课后托管/学习陪伴/习惯养成（门店图示）,西市场,https://www.dianping.com/shop/k7mlUtpnxRHO1aM7,2026-09-16T00:11:00-07:00,详情页可访问；未见评分、评价、营业时间或团购。
dianping,G8P16WpsBSdpCaiZ,学无忧•学课优小初高一站式提升规划中心(和谐广场校区),营市东街小学 / 槐荫区,,,,47,,,课后辅导,和谐广场,https://www.dianping.com/shop/G8P16WpsBSdpCaiZ,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,H8k6oFqedjN26KQf,致远托管,营市东街小学 / 槐荫区,距地铁4号线营市街站C口步行430m,营市街槐荫街36号,3.6,1,,,中小学课后托管,五院,https://www.dianping.com/shop/H8k6oFqedjN26KQf,2026-09-16T00:11:00-07:00,详情页可访问；展示效果3.6、师资3.4、环境3.6；未见营业时间/团购。
dianping,k4txQZ13B3t5xIxa,阳光托教(营市街),营市东街小学 / 槐荫区,距地铁4号线营市街站A口步行620m,营市街槐苑欣城东侧约70米,3.7,1,,,中小学课后托管；小饭桌（评价原文）,五院,https://www.dianping.com/shop/k4txQZ13B3t5xIxa,2026-09-16T00:11:00-07:00,详情页可访问；展示效果3.7、师资3.6、环境3.6；未见营业时间/团购。
dianping,G7jtBBZ8DUPGQquJ,尚学教育·初高中1对1辅导,营市东街小学 / 槐荫区,,,,74,,,课后辅导,和谐广场,https://www.dianping.com/shop/G7jtBBZ8DUPGQquJ,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,H9ON85jDtXWcUlIi,丰瞬托育中心(机车园),槐荫区,,,,103,,,托班/托儿所,张庄路/森林公园,https://www.dianping.com/shop/H9ON85jDtXWcUlIi,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,l5fFcNw9K37HVvwv,学易佳素质成长中心(连城国际校区),槐荫区,,,,311,,,课后辅导,和谐广场,https://www.dianping.com/shop/l5fFcNw9K37HVvwv,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),泉新学校（泉景园）,距阳光100美乐汇步行1.5km,王官庄街道王官庄小区1区5号楼1-201,3.7,,,08:00-17:00,中小学课后托管；小学晚托；全托（团购文案）,市中区,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:11:00-07:00,详情页可访问；展示效果3.8、师资3.8、环境3.7；团购页显示年售约300+/100+。
dianping,G4DAYApiVQZCmwtK,朴新天材教育(槐荫校区),槐荫区,,,,5,,,课后辅导,五院,https://www.dianping.com/shop/G4DAYApiVQZCmwtK,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,FG1FRyVhfdsSfqn5,贝尔安亲(济微中学校区),槐荫区,,,,1,124,,中小学课后托管,五院,https://www.dianping.com/shop/FG1FRyVhfdsSfqn5,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,G7zHiFPttcZaKigR,励志文化培训学校,槐荫区,,,,12,,,课后辅导,五院,https://www.dianping.com/shop/G7zHiFPttcZaKigR,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,l4507Z6EjlDFQl7r,课小贝托管(昆仑校区),槐荫区,距地铁2号线八里桥站F口步行1.4km,纬十二路81号昆仑小区19号楼底商,,,,10:00-22:00,中小学课后托管,西市场,https://www.dianping.com/shop/l4507Z6EjlDFQl7r,2026-09-16T00:11:00-07:00,详情页可访问；无评分/评价/团购；主图文字打码/像素化。
dianping,G9eP2eOXJCS5fsca,汇文教育(槐荫校区),槐荫区,,,,2,,,课后辅导,和谐广场,https://www.dianping.com/shop/G9eP2eOXJCS5fsca,2026-09-16T00:05:00-07:00,来自公开搜索结果列表；详情页触发验证中心，未展开。
dianping,l2a3jfI9AM8YGvQC,花儿朵朵托辅中心,营市东街小学 / 槐荫区,距地铁4号线营市街站A口步行530m,营市东街25号,3.9,7,,10:00-22:00,托班/托儿所,五院,https://www.dianping.com/shop/l2a3jfI9AM8YGvQC,2026-09-16T00:11:00-07:00,详情页可访问；展示课程3.9、师资3.9、环境3.9；页面可见3条评价摘要，未见商户回复。
