source_platform,merchant_id,merchant_name,target_school_context,offer_text,price_rmb,original_price_rmb,url,scrape_date,notes
dianping,H7t52d8VHzGF40fm,迪诺天才学习方法(槐荫校区),营市东街小学 / 槐荫区,仅售1元，价值99元【初中】初一初二初三秋季班｜学习规划,1,99,http://t.dianping.com/deal/1658527347,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,H5fLBkvuuGOGraOm,大智教育·中学生全科辅导(槐荫分校),营市东街小学 / 槐荫区,仅售1.9元，价值199元高考/中考志愿填报咨询,1.9,199,http://t.dianping.com/deal/1605809264,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,G8P16WpsBSdpCaiZ,学无忧•学课优小初高一站式提升规划中心(和谐广场校区),营市东街小学 / 槐荫区,仅售1元，价值99元暑期·高中数学｜英语｜语文1v1试听40分钟,1,99,http://t.dianping.com/deal/1661229054,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,G7jtBBZ8DUPGQquJ,尚学教育·初高中1对1辅导,营市东街小学 / 槐荫区,仅售29.9元，价值240元【暑假】初中·地理体验课,29.9,240,http://t.dianping.com/deal/1123308788,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,H9ON85jDtXWcUlIi,丰瞬托育中心(机车园),槐荫区,仅售2480元，价值2800元婴幼衔接,2480,2800,http://t.dianping.com/deal/841372186,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,l5fFcNw9K37HVvwv,学易佳素质成长中心(连城国际校区),槐荫区,仅售29.9元，价值299元【呦呦博物实验室】科学实验探索体验课1节,29.9,299,http://t.dianping.com/deal/963344168,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),泉新学校（泉景园）,仅售599元，价值800元【幼小衔接小学晚托】1周 | 【新客专享】10次正音训练,599,800,http://t.dianping.com/deal/1664209224,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,G7zHiFPttcZaKigR,励志文化培训学校,槐荫区,仅售99元，价值2399元2-6年级全科体验6节｜文化课试听,99,2399,http://t.dianping.com/deal/1589554525,2026-09-16T00:05:00-07:00,公开搜索结果团购文案；未核验详情页有效期。
dianping,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),泉新学校（泉景园）,【小学晚托】1周｜【新客专享】五天全托体验（午＋晚）,197,750,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:11:00-07:00,详情页团购模块公开文案；未点击购买。
dianping,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),泉新学校（泉景园）,【小学晚托】1次｜【新客专享】一次精美餐食体验,19.9,30,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:11:00-07:00,详情页团购模块公开文案；未点击购买。
