id,source_platform,url,scrape_date,title,salary_range,requirements,work_hours,company_district,company,data_quality
job_001,58同城,https://m.58.com/jn/zhuanye/66219277785142x.shtml,2026-09-15T23:09:10-07:00,宝蓓佳诚聘托管老师五险一金包吃交通补助,3000-4500元/月,师范类大专及以上优先；教师资格证优先；热爱托管、有责任心；具备基本辅导能力,09:00-19:00，做五休二或班次可协商,济南-历下-文化东路,济南市历下区七彩路幼儿园,detail_html_ok
job_002,58同城,https://m.58.com/jn/zhuanye/66022358604427x.shtml,2026-09-15T23:09:10-07:00,托管辅导老师,3000-6000元/月,接学生放学、维护秩序、检查作业、解答问题、制定学习计划、家校沟通,,济南-历城-张马屯（幸福柳小学附近）,山东省小海豚教育科技有限公司历下分公司,detail_html_ok
job_003,58同城,https://m.58.com/jn/zhuanye/66452530231427x.shtml,2026-09-15T23:09:10-07:00,托管老师,2000-3500元/月,准时接送；课后作业辅导；与家长老师沟通；设备清洁与秩序维护,,济南-天桥-汽车厂东路,济南市天桥区阳光托管中心,detail_html_ok
job_004,58同城,https://m.58.com/jn/zhuanye/65505211852045x.shtml,2026-09-15T23:09:10-07:00,历城韩老师中心/托管老师,2000-2500元/月,大专及以上；1年相关经验优先；接送、纪律、督促作业、讲解错题,16:00—19:30,济南-历城,历城韩老师校外托管中心,detail_html_ok
job_005,58同城,https://m.58.com/jn/zhuanye/65714473606549x.shtml,2026-09-15T23:09:10-07:00,托管老师,2000-2500元/月,接送、作业辅导、家校沟通、卫生秩序,,济南-济阳,济南市济阳区未来星托辅中心（个体工商户）,detail_html_ok
job_006,智联招聘 zhaopin (search index),https://www.zhaopin.com/jobdetail/CCL1385816120J40771192608.htm,2026-09-15T23:09:10-07:00,课后托管老师,3000-6000元/月,本科；接送托管学生；监督作业；普通话标准；行业经验优先,,济南槐荫区（龙湖新壹街8号楼）,济南市槐荫区书径学舟图书文化有限责任公司,search_index_snippet
job_007,智联招聘 zhaopin (search index),https://www.zhaopin.com/jobdetail/CCL1495242350J40868283210.htm,2026-09-15T23:09:10-07:00,托管老师,3000-6000元/月,搜索摘要：槐荫区乐学优加教育咨询中心招聘,,济南槐荫区,济南槐荫区乐学优加教育咨询中心(个体工商户),search_index_snippet
job_008,智联招聘 zhaopin (search index),https://www.zhaopin.com/jobdetail/CCL1471889080J40864600501.htm,2026-09-15T23:09:10-07:00,托管督学带班老师（综合6K+入职五险）,6000-12000元/月（综合）,本科；作业监督辅导；安全管理；家校沟通；续费目标相关,,济南历城区（未来书房幸福柳路店）,济南未来文化咨询有限公司,search_index_snippet
job_009,智联招聘 zhaopin (search index),https://www.zhaopin.com/jobdetail/CCL1525583820J40950883315.htm,2026-09-15T23:09:10-07:00,晚辅老师 / 小初晚辅督学老师,试用4000-5000；转正综合6000-9000元/月,统招本科及以上；师范/教师资格优先；辅导小初语数英,学期内周一至周五13:30-21:30，周末8:30-18:00，每周单休轮休；寒暑假周一至周六8:00-18:00,济南历城区春风里商场,济南市历城区领航方舟教育咨询中心(个体工商户),search_index_snippet
job_010,智联招聘 zhaopin (search index),https://www.zhaopin.com/jobdetail/CC285148580J40919184512.htm,2026-09-15T23:09:10-07:00,托管厨师,5000-5500元/月（岗位描述；标题区间5000-6000）,阿姨；认真端正；食材订购/出菜谱/炒菜备菜分菜；约120人两餐,8:00-18:30，一天两餐，周末双休，暑假10天带薪,济南历下区 / 工作地点描述含历城唐冶恒大名都,山东朋阳教育咨询有限公司,search_index_snippet
job_011,智联招聘 zhaopin (search index),https://www.zhaopin.com/jobdetail/CCL1482186100J40838024210.htm,2026-09-15T23:09:10-07:00,小饭桌生活老师,3000-4000元/月,接送、打饭、纪律和卫生（搜索摘要）,,济南历城区,济南历城区博雅苑托管服务中心,search_index_snippet
job_012,BOSS直聘 zhipin (search index),https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,2026-09-15T23:09:10-07:00,托管老师/课后作业辅导老师,4-6K,长期全职≥2年意向；1-3年经验；独立带班；辅导小学语文数学；家长沟通,,济南（列表页未拆区）,,search_index_snippet
job_013,BOSS直聘 zhipin (search index),https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,2026-09-15T23:09:10-07:00,中小学作业辅导托管老师,2500-4000元/月,辅导课后作业,周一到周五下午约16:30-21:00，周末双休,济南,,search_index_snippet
job_014,BOSS直聘 zhipin (search index),https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,2026-09-15T23:09:10-07:00,全职托管老师（生活+辅导）,3-4K,接送、午餐午休、放学后辅导写作业；爱心耐心责任心,,济南,,search_index_snippet
job_015,BOSS直聘 zhipin (search index),https://www.zhipin.com/zhaopin/c0d27a285aba68ce1HF-2Nq5Ew~~/,2026-09-15T23:09:10-07:00,托管机构厨师,约4-5K（索引综合）,午餐晚餐加餐、食材及厨房卫生；健康、喜欢孩子,,济南,,search_index_snippet
job_016,BOSS直聘 zhipin (search index),https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,2026-09-15T23:09:10-07:00,兼职托管老师检查小学生作业,80-140元/天,25岁以下；不招短期,周一～周五 15:30～20:00,济南,济南学尚教育,search_index_snippet
