record_id,brand,campus_or_entity,topic,plain_fact,numeric_value,unit,package_or_role,district,address_clue,publish_or_update_time,crawl_time,source_url,screenshot_path,source_type,old,notes
A_yixin_addr,壹心,泉海校区,venue,ASR自称位于中海国际A5地块九曲便利市场内，距泉海学校步行约1分钟；全开放厨房、自助取餐、午休区,,,场馆参观宣传,市中,中海国际A5九曲便利市场,2025,2026-09-16T01:57:54-07:00,file://research/jinan_tuoguan_2026/09_transcripts/7525763465560313146.txt,,广告宣传,0,无公开月费
A_yixin_nap,壹心,泉海校区,product,宣传60只天丝棉三件套、天然椰棕床垫、独立午休/太空舱风格宿舍,60,床套,午休配置,市中,,2025,2026-09-16T01:57:54-07:00,file://research/jinan_tuoguan_2026/09_transcripts/7527685990393400634.txt,,广告宣传,0,
A_yixin_select,壹心,济南,enrollment_policy,宣传双向选择：挑学生也挑家长，拒绝不合拍生源,,,招生筛选,市中,,2025,2026-09-16T01:57:54-07:00,file://research/jinan_tuoguan_2026/09_transcripts/7678673116122259579.txt,,广告宣传,0,
A_yixin_douyin,壹心,壹心托管济南校区,social,抖音账号活跃，含厨房消杀、新风、省级视察等题材；胜利大街校区启航文案,,,内容运营,市中/槐荫未拆,,2025,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAAaUBMtA-9SvagxcGJfXlgx1eQ3S1oGfkTKxnmmtUJdH8MPRQLIdeQwSV6JfHrTsaO,,广告宣传,0,价格字段公开检索未命中
A_beier_franchise_fee,贝尔安亲,加盟政策(第三方目录),franchise,盟享加目录列加盟金25.8万元，预估投资额29.8万起；济南等地有分公司表述,258000,元加盟金,加盟费,全国/济南分公司,,2025-03-06,2026-09-16T01:57:54-07:00,https://m.mxj.com.cn/brands/4864.html,,广告宣传,0,第三方加盟站；非总部盖章合同；页面curl可能空
A_beier_invest_range,贝尔安亲,加盟政策(加盟费查询网),franchise,公开汇编：加盟费约18-60万；标准校区总投资二三线约50-100万；装修示例约800元/㎡(268.8㎡约21.5万),500000-1000000,元总投资区间,投资测算,二三线示例,,unknown,2026-09-16T01:57:54-07:00,https://www.jiamengfei.com/xm/273241,raw/jiamengfei_beier.html,广告宣传,0,汇总站口径；需总部核实
A_beier_jn_list,贝尔安亲,济南多校区,campus_list,官网济南页列出历下/历城/市中/天桥/济阳等多校区名称(蒙正、燕山中学贝尔全能、万象新天、育秀小学部、经十一路等)；未见泉景校区条目,,,校区名录,济南,见官网列表,unknown,2026-09-16T01:57:54-07:00,https://www.angelbell.cn/project_jn.html,raw/angelbell_jinan.html,官方事实,0,
A_beier_group_599,贝尔安亲,泉景校区(点评店名),price,点评团购：幼小衔接小学晚托1周+正音599元(价值800),599,元,团购体验周包,未核验,店名泉景/地址争议王官庄,2026-09,2026-09-16T01:57:54-07:00,http://t.dianping.com/deal/1664209224,,地图团购,0,地址匹配置疑
A_beier_xhs_shunhua,贝尔安亲,舜华校区,product,小红书宣传持证师资、小班、一人一床、忌口餐、监控反馈；未披露月费,,,高端托管卖点,高新区/舜华,,2025-04,2026-09-16T01:57:54-07:00,https://www.xiaohongshu.com/explore/69d71f32000000001a02a86e,,广告宣传,0,
A_beier_jiwei_amap,贝尔安亲,济微校区,venue,高德公开：济微中学南门旁，电话18354166398,,,门店定位,槐荫,济微中学南门旁,unknown,2026-09-16T01:57:54-07:00,https://www.amap.com/place/B0HA67DURI,,官方事实,0,
A_xhz_job,小火竹,济南市槐荫区小火竹托管服务中心(个体工商户),jobs,智联公司页存在；另有食堂厨师招聘条目；抖音有槐荫小火竹官方号与高投入托管题材,,,招聘/主体线索,槐荫,龙湖新壹街/饮马巷龙湖名景台(招聘线索),unknown,2026-09-16T01:57:54-07:00,https://www.zhaopin.com/companydetail/CZL1524903980.htm,raw/xiaohuozhu_zhaopin.html,招聘侧面,0,月费未公开
A_xhz_douyin,小火竹,济南槐荫小火竹官方号,social,抖音账号存在；竞品检索命中“高投入托管中心哪里区别于普通小饭桌#槐荫区托管#小火竹托管”,,,品牌内容,槐荫,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAAH3zONTSzG-Yo8-aLh505CHGPCjQ44e6T_8Q8vtbdbHffbHdReSXOvN7aCEXuBK,,广告宣传,0,价格未在公开检索命中
A_nuanya,暖芽,济南暖芽课后托辅中心（华山校区）,social_or_price,抖音：济南暖芽课后托辅中心（华山校区）,,,账号线索,,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAAB90JLvfvFen3qmlY2X1MFMDjso2m7gmYNI0sxV3Umui14f7bkAJgmjFL8_SK9EPj,,广告宣传,0,华山校区；价格未公开
A_yuetong,悦童,济南悦童课后成长中心 / 市中区悦童年,social_or_price,抖音：济南悦童课后成长中心 / 市中区悦童年,,,账号线索,,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAAzUy-ej5RhxDz6gVF4rM69dStlhis7AOzPkd6afQ97yZOXSQwpubGTZPfG-vufaT-,,广告宣传,0,价格未公开
A_huixin,惠心,济南市槐荫区惠心托管中心,social_or_price,抖音：济南市槐荫区惠心托管中心,,,账号线索,,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAAWdUDcQpSeHIiHy_bMc9BwZSfsRjrQaxuhgvih2V3S4Y,,广告宣传,0,槐荫；价格未公开
A_dalang,大朗,济南市中大朗托管,social_or_price,抖音：济南市中大朗托管,,,账号线索,,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAA3adiFP6eW9zu1ScsY8EFey6LU34nBuwQfSGhWYoeDD-XoLCbIySYr2Mugm9IZzR9,,广告宣传,0,市中；价格未公开
A_shuxiang,书香致远,书香致远托管中心,social_or_price,抖音：书香致远托管中心,,,账号线索,,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAAFJfkrQooY8rgbbcq31OmKaiOAJoS9bR8NTItoQkYA54,,广告宣传,0,注意：智联另见江苏建湖同名公司，济南主体待核
A_huizhi,汇智,济南汇智托管中心,social_or_price,抖音：济南汇智托管中心,,,账号线索,,,unknown,2026-09-16T01:57:54-07:00,https://www.douyin.com/user/MS4wLjABAAAA10bVyDo5_v7OxkycYiUhgnn72un7mEU7pa68sfkeMts,,广告宣传,0,价格未公开
