institution_id,school_area_precise,brand_name,storefront_name,legal_name,address,distance_to_school,schools_served,grades,phone,douyin_url,xhs_url,dianping_url,poi_url,chain_flag,branch_count_clue,operating_2026_evidence,services,latest_close_time,teacher_student_ratio,venue_area_floor,kitchen_nap_rooms,student_count_clues,enrollment_status,match_confidence,source_url,screenshot_path,source_type,verification_status,collected_at,notes
inst_cf39ee2f13,绿地泉景园,金苹果小饭桌,金苹果小饭桌,,济南市槐荫区绿地泉景园1期8号楼302室,院内/邻泉新学校,泉新学校(地理邻近),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌,,,住宅3F,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory_list_not_2026_verified,2026-09-16T01:56:33-07:00,本地宝槐荫小饭桌名录；地址在绿地泉景园一期；勿并入泉新学校池
inst_af6efe2bb1,绿地泉景园,新星小饭桌,新星小饭桌,,济南市槐荫区绿地泉景园9号楼102室,院内/邻泉新学校,泉新学校(地理邻近),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌,,,住宅1F,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory_list_not_2026_verified,2026-09-16T01:56:33-07:00,绿地泉景园精确标注
inst_c295027521,绿地泉景园,博乐少儿托管所中心,博乐少儿托管所中心,,济南市槐荫区绿地泉景园二期7号楼1单元202,院内,泉新学校(地理邻近),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,托管/小饭桌,,,住宅2F,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory_list,2026-09-16T01:56:33-07:00,
inst_318bec1b53,阳光100参照,济南市槐荫区优佳家托,济南市槐荫区优佳家托,,济南市阳光100F12-4-101,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_f01e713d1a,阳光100参照,100小饭桌,100小饭桌,,济南市阳光100F5-2-501,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_45ecddc209,阳光100参照,起航辅导班,起航辅导班,,济南市阳光100F15-6-102,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_f97bcc8156,阳光100参照,金色阳光饭桌,金色阳光饭桌,,济南市阳光100F15-5-101,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_b44c8e3794,阳光100参照,智博托辅中心,智博托辅中心,,济南市阳光100F5-3-702,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_8c7e789c09,阳光100参照,鲁美教育托管中心,鲁美教育托管中心,,济南市阳光100F12-7-102,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_c6f416e114,阳光100参照,开心辅导班,开心辅导班,,济南市阳光100F22-104,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_479ff78443,阳光100参照,优+小饭桌,优+小饭桌,,济南市阳光100F22号楼1单元202,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_7b1153978c,阳光100参照,袋鼠妈妈托管连锁机构阳光100十二部,袋鼠妈妈托管连锁机构阳光100十二部,,济南市阳光100F12-6-902,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,Y,十二部,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
