price_id,school_area_precise,institution_id,institution_name,price_value,price_unit,service_scope,grade_range,price_kind,effective_date_or_post_date,source_url,screenshot_path,source_type,verification_status,collected_at,raw_quote
px_beier_qj_599,unresolved,inst_163d6c5fb8,贝尔安亲(泉景校区),599,元/周体验,幼小衔接小学晚托1周+正音训练10次(新客),幼小/小学,团购价,2026-09-16,http://t.dianping.com/deal/1664209224,,地图团购,unverified_listing_address_mismatch_王官庄vs泉景名,2026-09-16T01:56:33-07:00,仅售599元，价值800元【幼小衔接小学晚托】1周 | 【新客专享】10次正音训练
px_beier_qj_197,unresolved,inst_163d6c5fb8,贝尔安亲(泉景校区),197,元/5天体验,小学晚托五天全托体验(午+晚),小学,体验价,2026-09-16,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,,地图团购,unverified_listing,2026-09-16T01:56:33-07:00,【小学晚托】1周｜【新客专享】五天全托体验（午＋晚）197元价值750
px_beier_qj_19p9,unresolved,inst_163d6c5fb8,贝尔安亲(泉景校区),19.9,元/次,小学晚托一次餐食体验,小学,体验价,2026-09-16,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,,地图团购,unverified_listing,2026-09-16T01:56:33-07:00,【小学晚托】1次｜【新客专享】一次精美餐食体验19.9元
px_xhs_hy_900,unresolved,,(匿名评论·槐荫),900,元/月,午餐三菜一汤+下午粥面包+看作业,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,comment_aggregate_not_store_specific,2026-09-16T01:56:33-07:00,槐荫约900/月（午餐三菜一汤、下午粥和面包、看作业）
px_xhs_lunch_750,unresolved,,(匿名评论·济南),750,元/月,午餐小饭桌,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,comment_aggregate,2026-09-16T01:56:33-07:00,午餐750/月、午餐+晚餐1100/月
px_xhs_lunch_dinner_1100,unresolved,,(匿名评论·济南),1100,元/月,午餐+晚餐,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,comment_aggregate,2026-09-16T01:56:33-07:00,午餐+晚餐1100/月
px_xhs_sz_860,泉景小学,,(匿名评论·市中区),860,元/月,小饭桌(口径未拆午/晚),小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,district_level_comment_weak_link_to_泉景中学小学部片区,2026-09-16T01:56:33-07:00,市中区约860-890/月
px_xhs_sz_890,泉景小学,,(匿名评论·市中区),890,元/月,小饭桌(口径未拆午/晚),小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,district_level_comment_weak_link,2026-09-16T01:56:33-07:00,市中区约860-890/月
px_huajin_880,unresolved,,花锦时代(槐荫实验附近晚辅),880,元/月,晚辅小班+作业+晚餐,小学,月费,2025-08-22,https://www.xiaohongshu.com/explore/6a8a7111000000002802e94b,,广告宣传,ad_claim_near_槐荫实验_not_core_three,2026-09-16T01:56:33-07:00,原价880元/月，前10名首月减100元，39.9元体验3天含晚餐
px_huajin_39p9,unresolved,,花锦时代(槐荫实验附近晚辅),39.9,元/3天,晚辅体验含晚餐,小学,体验价,2025-08-22,https://www.xiaohongshu.com/explore/6a8a7111000000002802e94b,,广告宣传,ad_claim,2026-09-16T01:56:33-07:00,39.9元体验3天晚辅（含晚餐）
