job_id,role_group,title,salary_base_range,salary_notes,district,hours,requirements,source_url,screenshot_path,source_type,verification_status,posted_date,collected_at
lab_001,托管老师,宝蓓佳诚聘托管老师五险一金包吃交通补助,3000-4500元/月,基本月薪区间；含五险一金/包吃/交通补助(帖称)，未见提成拆分,历下-文化东路,09:00-19:00做五休二可协商,师范大专优先;教师资格优先,https://m.58.com/jn/zhuanye/66219277785142x.shtml,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_002,托管老师,托管辅导老师,3000-6000元/月,区间含绩效可能；帖文未拆底薪/提成,历城-张马屯,,接送/作业/家校,https://m.58.com/jn/zhuanye/66022358604427x.shtml,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_003,托管老师,托管老师,2000-3500元/月,偏低区间；未见提成说明,天桥,,接送辅导卫生,https://m.58.com/jn/zhuanye/66452530231427x.shtml,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_004,托管老师,历城韩老师中心/托管老师,2000-2500元/月,底薪感强；时段16:00-19:30偏兼职形态,历城,16:00—19:30,大专;1年经验优先,https://m.58.com/jn/zhuanye/65505211852045x.shtml,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_005,托管老师,课后托管老师,3000-6000元/月,搜索摘要区间；未拆提成,槐荫龙湖新壹街,,本科;接送监督作业,https://www.zhaopin.com/jobdetail/CCL1385816120J40771192608.htm,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_006,托管老师,托管老师(乐学优加),3000-6000元/月,摘要区间,槐荫,,,https://www.zhaopin.com/jobdetail/CCL1495242350J40868283210.htm,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_007,督学/晚辅老师,托管督学带班老师,6000-12000元/月,标注综合；含续费相关目标，疑含提成,历城未来书房,,本科;作业监督;续费目标,https://www.zhaopin.com/jobdetail/CCL1471889080J40864600501.htm,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_008,督学/晚辅老师,晚辅老师/小初晚辅督学,试用4000-5000;转正综合6000-9000,试用底薪 vs 转正综合(含绩效/提成可能),历城春风里,学期13:30-21:30周单休,统招本科;师范优先,https://www.zhaopin.com/jobdetail/CCL1525583820J40950883315.htm,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_009,厨师,托管厨师,5000-5500元/月,岗位描述固定区间；标题5000-6000；未见提成,历下/历城唐冶,8:00-18:30两餐双休,约120人两餐;阿姨,https://www.zhaopin.com/jobdetail/CC285148580J40919184512.htm,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_010,生活老师,小饭桌生活老师,3000-4000元/月,底薪型；接送打饭纪律,历城,,,https://www.zhaopin.com/jobdetail/CCL1482186100J40838024210.htm,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_011,托管老师,托管老师/课后作业辅导老师,4000-6000元/月,4-6K；未拆提成,济南,,独立带班;辅导语数,https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_012,托管老师,中小学作业辅导托管老师,2500-4000元/月,时段岗,济南,周一至周五约16:30-21:00双休,辅导作业,https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_013,托管老师,全职托管老师(生活+辅导),3000-4000元/月,3-4K,济南,,接送午餐午休辅导,https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_014,厨师,托管机构厨师,约4000-5000元/月,索引综合,济南,,午餐晚餐加餐,https://www.zhipin.com/zhaopin/c0d27a285aba68ce1HF-2Nq5Ew~~/,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_015,兼职老师,兼职托管老师检查作业,80-140元/天,日薪非月薪；非底薪提成结构,济南,周一～周五15:30～20:00,25岁以下不招短期,https://www.zhipin.com/zhaopin/413c53d7418f2e5a1XZ52Ny6EQ~~/,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
lab_016,托管老师,托管老师(济阳未来星),2000-2500元/月,偏低,济阳,,接送辅导,https://m.58.com/jn/zhuanye/65714473606549x.shtml,,招聘侧面,public_listing_v1_refresh,,2026-09-16T01:56:33-07:00
