signal_id,school_area_precise,platform,signal_type,plain_text,institution_mentioned,price_mentioned,source_url,screenshot_path,source_type,verification_status,post_date,collected_at
pd_001,泉景小学,xiaohongshu,recommendation_ask,一年级新生求推荐泉景小学附近靠谱小饭桌,绿沅幼儿园等评论线索,,https://www.xiaohongshu.com/explore/6a824f6e0000000033013513,,用户评论,demand_only,2025-08-16,2026-09-16T01:58:17-07:00
pd_002,泉景中学,xiaohongshu,promo_meal,泉景中学小饭桌餐食展示；最晚约六点；收费未答,蛋仔妈咪666,,https://www.xiaohongshu.com/explore/673098bd000000001a01dd9c,,广告宣传,self_claim,2024-11-10,2026-09-16T01:58:17-07:00
pd_003,unresolved,xiaohongshu,price_crowd,济南小饭桌一月多少钱讨论帖,,多档750-2000+,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,aggregate_comments,2025-07-20,2026-09-16T01:58:17-07:00
pd_004,泉海参照,douyin,premium_flex,壹心托管泉海校区场馆/餐厨/午休宣传,壹心托管,,https://www.douyin.com/video/7525763465560313146,,广告宣传,ASR_backed,2025,2026-09-16T01:58:17-07:00
pd_005,unresolved,xiaohongshu,regulation,山东校外托管监管9月16实施解读,,,https://www.xiaohongshu.com/explore/6a8d6eeb000000001803c15e,,用户评论,policy_discussion,2025-08-25,2026-09-16T01:58:17-07:00
pd_006,泉新学校,xiaohongshu,review_request,搜索结果出现“体验了学校旁边托管班，说说真实感受”，反映家长需要真实体验/评价。,,,https://www.xiaohongshu.com/search_result/?keyword=%E6%B3%89%E6%96%B0%E5%AD%A6%E6%A0%A1%E6%89%98%E7%AE%A1&type=51,01_quanxin/screenshots/xhs_quanxin_search_public.png,用户评论,public_search_result_only;author_anonymized,2026-06-22,2026-09-16T02:08:00-07:00
pd_007,泉新学校,xiaohongshu,negative_review,搜索结果出现“真的不建议送孩子去晚托班”，晚托体验/信任是明显避坑需求。,,,https://www.xiaohongshu.com/search_result/?keyword=%E6%B3%89%E6%96%B0%E5%AD%A6%E6%A0%A1%E6%89%98%E7%AE%A1&type=51,01_quanxin/screenshots/xhs_quanxin_search_public.png,用户评论,public_search_result_only;author_anonymized,2026-03-06,2026-09-16T02:08:00-07:00
pd_008,泉新学校,xiaohongshu,negative_review,搜索结果出现“学校附近的托管班都这样吗？太可怕了”，关注安全/质量和避坑。,,,https://www.xiaohongshu.com/search_result/?keyword=%E6%B3%89%E6%96%B0%E5%AD%A6%E6%A0%A1%E6%89%98%E7%AE%A1&type=51,01_quanxin/screenshots/xhs_quanxin_search_public.png,用户评论,public_search_result_only;author_anonymized,2026-01-22,2026-09-16T02:08:00-07:00
pd_009,杨柳春风学校,xiaohongshu,complaint,“老板态度特别差！！！”为公开搜索结果标题，提示家长关注沟通/服务态度。,,,https://www.xiaohongshu.com/search_result/?keyword=%E6%9D%A8%E6%9F%B3%E6%98%A5%E9%A3%8E%E6%89%98%E7%AE%A1&type=51,02_yangliu/screenshots/xhs_yangliu_search_public.png,用户评论,public_search_result_only;author_anonymized,2026-08-31,2026-09-16T02:08:00-07:00
pd_010,杨柳春风学校,xiaohongshu,avoidance,“避雷托管”为公开搜索结果标题，反映避坑/投诉内容需求。,,,https://www.xiaohongshu.com/search_result/?keyword=%E6%9D%A8%E6%9F%B3%E6%98%A5%E9%A3%8E%E6%89%98%E7%AE%A1&type=51,02_yangliu/screenshots/xhs_yangliu_search_public.png,用户评论,public_search_result_only;author_anonymized,2026-05-10,2026-09-16T02:08:00-07:00
