listing_id,school_area,area_band,address,area_sqm,monthly_rent,rent_per_sqm,floor,street_front,distance_to_school,water_drain,gas,exhaust,catering_ok,fire_clue,transfer_fee,property_fee,deposit_terms,publish_time,crawl_time,source_url,screenshot_path,stale,source_type,notes
RENT_YL_250_1,杨柳春风,250-350,西客站·印象济南泉世界(喷泉/南门),300,面议,,临街,Y,西客站片,Y,Y,Y,Y,,面议,,,2026-03-11,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=38779,05_large_rent/raw/jinanspw_38779_yinxiang.html,0,广告宣传,同盘多面积可选
RENT_YL_250_2,杨柳春风,250-350,西客站·印象济南喷泉旁纯一层,220,面议,,纯一层,Y,,Y,Y,,Y,,,,,2026-02-28,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=38554,05_large_rent/raw/jinanspw_38554_yinxiang.html,0,广告宣传,略低于250;另有三楼260㎡
RENT_YL_250_3,杨柳春风,250-350,经十西路·金科城商铺,320,5000,15.6,临街,Y,,Y,,,可明火,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,05_large_rent/raw/anjuke_huaiyin_list.html,0,地图团购,
RENT_YL_350_1,杨柳春风,350-450,西客站·地平甲第时代外侧沿街(两间190可打通),380,面议,,上下两层x2,Y,,Y,Y,Y,可能,,,,,2026-05-23,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=38436,05_large_rent/raw/jinanspw_38436_xike.html,0,广告宣传,
RENT_YL_350_2,杨柳春风,350-450,西客站·恒大财富中心小铁台球转让,420,面议,,社区底商,Y,,Y,,,,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,05_large_rent/raw/anjuke_huaiyin_list.html,0,地图团购,
RENT_YL_450_1,杨柳春风,450-600,印象济南招商·400多㎡档,400+,面议,,,,,,,,,,,,,,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=38779,05_large_rent/raw/jinanspw_38779_yinxiang.html,0,广告宣传,精确面积未单列
RENT_YL_450_2,杨柳春风,450-600,张庄路·昌盛宾馆式4层,450,4999,11.1,4层,Y,,,,,,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,05_large_rent/raw/anjuke_huaiyin_list.html,0,地图团购,价格异常低需核验
RENT_YD_250_1,营市东街,250-350,槐荫明星小区黄金地段沿街(指点网),280,面议,,上下两层,Y,,Y,Y,Y,Y,,,,,,2026-09-16T04:46:32-07:00,https://www.shangpu99.com/spczdetail/id/1756.html,05_large_rent/raw/shangpu99_1756.html,0,广告宣传,标题300正文280
RENT_YD_250_2,营市东街,250-350,经六路营市东街小学正对面槐苑花园口,160,面议,,一层,Y,正对面,,,,,,,,,2026-01-26,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=38297,05_large_rent/raw/jinanspw_38297_yingshi.html,0,广告宣传,低于目标带;近校对照
RENT_YD_350_1,营市东街,350-450,和谐广场·新世界阳光花园(银座佳悦对面约50米),400,面议,,临街门面,Y,近新世界/营东,Y,,,可明火,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,05_large_rent/raw/anjuke_huaiyin_list.html,0,地图团购,
RENT_YD_350_2,营市东街,350-450,西市场·纬十二路经五路309号商业街路口双层,380,16000,42.1,双层,Y,营东片东侧,,,,,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,05_large_rent/raw/anjuke_huaiyin_list.html,0,地图团购,免租1个月
RENT_YD_450_1,营市东街,450-600,五院东邻槐苑文体公园商铺(可分租),2000,面议,,临街,Y,体育场南侧约50m,Y,,,可明火,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/,,0,地图团购,可分租潜力
RENT_YD_450_2,营市东街,450-600,匡山幸福街核心餐饮转让(同区参照),450,30000,66.7,一楼厅厨+二楼,Y,,,Y,Y,Y,,面议,,,2025-04-30,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=37716,05_large_rent/raw/jinanspw_37716_kuangshan.html,0,广告宣传,偏匡山非营东门口
RENT_QX_250_1,泉新,250-350,刘长山路槐荫段·腊山南苑(幼儿园对面招商盘),300,面议,,可上下/可单租一楼,,辐射泉新学校,Y,Y,,Y,,,,,2022-08-08,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=33326,05_large_rent/raw/jinanspw_33326_lashan.html,1,广告宣传,50-10000㎡均有;取300档意向
RENT_QX_350_1,泉新,350-450,刘长山路槐荫段·腊山南苑招商盘,400,面议,,,,辐射泉新/泉景嘉园,,,,,,,,,2022-08-08,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=33326,05_large_rent/raw/jinanspw_33326_lashan.html,1,广告宣传,
RENT_QX_450_1,泉新,450-600,刘长山路槐荫段·腊山南苑招商盘,500,面议,,,,,,,,,,,,,2022-08-08,2026-09-16T04:46:32-07:00,http://www.jinanspw.com/view/?id=33326,05_large_rent/raw/jinanspw_33326_lashan.html,1,广告宣传,
RENT_QJ_250_1,泉景,250-350,阳光100G区17号楼餐馆转让,200,6500,32.5,纯一层,,,,Y,,Y,,,,,2026-07-25,2026-09-16T04:46:32-07:00,http://jinanspw.com/view/?id=38583,05_large_rent/raw/jinanspw_38583_yg100.html,0,广告宣传,略低于250;泉景/阳光100参照
RENT_QJ_250_2,泉景,250-350,阳光100六期欧亚大观北侧商业街,173,面议,,上下两层,,,,Y,,,,,,,,2026-09-16T04:46:32-07:00,http://jinanspw.com/view/?id=38538,,0,广告宣传,reuse_v1;低于带
RENT_QJ_350_1,泉景,350-450,阳光100凤凰街南邻泉景天沅秀园沿街(送2楼50平),250,面议,,1F+送2F50,,,,,,可明火线索,,,,,,2026-09-16T04:46:32-07:00,https://m.anjuke.com/jn/sp/zu/7100676493/,,1,地图团购,200+50合计记250下沿;reuse_v2
