sample_id,brand,campus,city,province,building_area_sqm,usable_area_sqm,area_type_note,actual_students,claimed_max_capacity,full_class_capacity,nap_beds,nap_style,study_area_sqm,study_seats,dining_area_sqm,dining_seats,batch_dining,kitchen_sqm,toilet_wash,office_storage,activity_area,corridor_egress,floor,property_type,fire_catering_clues,source_url,screenshot_path,publish_or_update_time,crawl_time,source_type,confidence,estimated_flags,notes
CAP_001,(行业口述·社区型),150㎡带午休测算例,二线口述(西安等),外省参照,150,,房本建筑面积,,35-40,,20-30,叠叠床或双层架子床,,,,,,,,,,,,社区住宅,,https://www.xiaoyou3.com/extend/458.html,02_capacity_samples/raw/xiaoyou_invest_458.html,2025-04-28,2026-09-16T04:46:32-07:00,经营者口述,medium,claimed_max_is_rule_of_thumb,带午休约4㎡/生;非山东门店实测
CAP_002,(行业口述·社区型),150㎡无午休测算例,二线口述,外省参照,150,,房本建筑面积,,50,,,无午休床,,,,,,,,,,,,,,https://www.xiaoyou3.com/extend/458.html,02_capacity_samples/raw/xiaoyou_invest_458.html,2025-04-28,2026-09-16T04:46:32-07:00,经营者口述,medium,claimed_max_is_rule_of_thumb,不带午休约3㎡/生
CAP_003,(行业口述·社区型),100㎡档,通用,外省参照,100,,,,25,,,,,,,,,,,,,,,,,https://www.xiaoyou3.com/extend/458.html,02_capacity_samples/raw/xiaoyou_invest_458.html,2025-04-28,2026-09-16T04:46:32-07:00,经营者口述,medium,claimed_max_is_rule_of_thumb,
CAP_004,晋级托管学堂,小饭桌模式宣传,全国宣传,品牌宣传,100-200,,,,50-80,,,,,,,,,,,,,,,,,https://www.xstg8.com/jiqiao/jingying/2020/0608/935.html,02_capacity_samples/raw/xstg8_venue_size.html,2020-06-08,2026-09-16T04:46:32-07:00,brand_claim,low,range_claim;per_student_2sqm_assumption;publish_2020_gt_2y,
CAP_005,晋级托管学堂,加盟校模式宣传,全国宣传,品牌宣传,200-500,,,,100-200,,,,,,,,,,,,,,,,,https://www.xstg8.com/jiqiao/jingying/2020/0608/935.html,02_capacity_samples/raw/xstg8_venue_size.html,2020-06-08,2026-09-16T04:46:32-07:00,brand_claim,low,range_claim;publish_2020_gt_2y,
CAP_006,(装修公司方案),小型托管面积参考,陕西方案站,外省参照,30-60,,,,15-25,,,折叠床或榻榻米,,,,,,,,,,,,,,http://yszscd.com/tags-1756354757-mz8.html,02_capacity_samples/raw/ysz_tuoguan_reno.html,,2026-09-16T04:46:32-07:00,装修公司报价,low,design_reference_range,
CAP_007,(装修公司方案),中型托管面积参考,陕西方案站,外省参照,80-120,,,,30-50,,,,,,,,,,,,,,,,,http://yszscd.com/tags-1756354757-mz8.html,02_capacity_samples/raw/ysz_tuoguan_reno.html,,2026-09-16T04:46:32-07:00,装修公司报价,low,design_reference_range,
CAP_008,(北京西城居民楼托管·匿名),南二环内小学附近,北京,外省参照,150,,大三居一层约150㎡,60-70,,,,,,,,,,,,,,,一层+半地下,居民楼,,http://www.news.cn/edu/20230905/576661da9bca43cf9da19746483133de/c.html,02_capacity_samples/raw/xinhua_tuoguan_202309.html,2023-09-05,2026-09-16T04:46:32-07:00,官方事实,medium,,记者探访:以前一百多现约六七十;非山东
CAP_009,贝尔安亲,加盟二线示例(珠海档),珠海示例,品牌宣传,300,,加盟招商店铺面积,,120,,,,,,,,,,,,,,,,,https://m.jiamengfei.cn/news/52847.html,02_capacity_samples/raw/jiamengfei_beier_52847.html,2025-02-24,2026-09-16T04:46:32-07:00,brand_claim,low,capacity_estimated_from_guancha_2p5sqm_per_student;area_explicit_capacity_not_on_page,页面只给面积投资表;容量=300/2.5估算
CAP_010,贝尔安亲,加盟一线示例(广州档),广州示例,品牌宣传,400,,,,160,,,,,,,,,,,,,,,,,https://m.jiamengfei.cn/news/52847.html,02_capacity_samples/raw/jiamengfei_beier_52847.html,2025-02-24,2026-09-16T04:46:32-07:00,brand_claim,low,capacity_estimated_from_2p5sqm;area_explicit_capacity_not_on_page,
CAP_011,贝尔安亲,加盟三线示例(日照档),日照,山东,200,,,,80,,,,,,,,,,,,,,,,,https://m.jiamengfei.cn/news/52847.html,02_capacity_samples/raw/jiamengfei_beier_52847.html,2025-02-24,2026-09-16T04:46:32-07:00,brand_claim,low,capacity_estimated_from_2p5sqm;area_explicit_capacity_not_on_page,山东样本;容量估算
CAP_012,贝尔安亲,标准门店268.8㎡招商页,一线标准店宣传,品牌宣传,268.8,,,,107,,,,,,,,,,,,,,,,,https://www.jiamengfei.com/xm/273241,04_capex_opex/raw/jiamengfei_beier.html,,2026-09-16T04:46:32-07:00,brand_claim,low,capacity_estimated_from_2p5sqm,装修约21.5万≈800元/㎡
CAP_013,贝尔安亲,8158加盟页300㎡,全国,品牌宣传,300,,,,120,,,,,,,,,,,,,,,,,https://www.8158.com/jiaoyu/angelbell/index.html,02_capacity_samples/raw/8158_beier.html,,2026-09-16T04:46:32-07:00,brand_claim,low,capacity_estimated_from_2p5sqm;duplicate_tier_with_CAP_009,
CAP_014,(海口午托无证案例),十余平米房间,海口,外省参照,10+,十余平米,报道约十余平米,14,,,,,,,,,,,,,,,,,,https://news.qq.com/rain/a/20210309A0FHZW00,02_capacity_samples/raw/qq_14kids_overcrowd.html,2021-03-09,2026-09-16T04:46:32-07:00,官方事实,medium,area_approx;publish_gt_2y,负面挤占对照;非合规
CAP_015,(行业百科复述),住宅约120㎡,通用,外省参照,120,,,,30,,,,,,,,,,,,,,,,,http://www.9jiaoyu.com/baike/23455.html,,,2026-09-16T04:46:32-07:00,经营者口述,low,approx_住宅120平招30,与小友口径同源
CAP_016,贝尔安亲,压缩密度报道反推(300㎡@1.8),全国报道,品牌相关报道,300,,活动空间按1.8㎡/生反推,,167,,,,,,,,,,,,,,,,,https://user.guancha.cn/main/content?id=1446932&s=fwzwyzzwzbt,02_capacity_samples/raw/guancha_beier.html,2025-05,2026-09-16T04:46:32-07:00,brand_claim,low,capacity_estimated_from_1p8_compressed_density;hypothetical_on_300sqm,报道称有校区把生均活动空间从2.5压到1.8;本行用300㎡假设反推;非具体山东店
CAP_017,爱家乐校外托管,辅仁校区(旅游路山大辅仁),济南,山东,450,,宣传公寓式教学环境450平(建筑/使用未区分),,,10-15,,,,,,,,,,,,,,公寓式教学环境,,http://www.ywtds.com/school/8477/,02_capacity_samples/raw/ywtds_aijiale_8477.html,,2026-09-16T04:47:36-07:00,brand_claim,medium,full_class_is_guoxue_xiaoban_not_total_enrollment;area_claim_450_without_usable_split,济南本地premium宣传;国学全日班每班10-15人;托管总在读人数未公开;450平为环境宣传
CAP_018,贝尔安亲,济南加盟标准档参照(二线300㎡表),济南,山东,300,,套用全国二线加盟面积档;非具体济南店实测,,120,,,,,,,,,,,,,,,,,https://m.jiamengfei.cn/news/52847.html,02_capacity_samples/raw/jiamengfei_beier_52847.html,2025-02-24,2026-09-16T04:47:36-07:00,brand_claim,low,area_from_national_tier_table_applied_to_jinan;capacity_estimated_2p5sqm;not_specific_campus_measurement,济南有多校区(angelbell project_jn)但公开页无面积×人数;本行仅作山东偏好占位并强标estimated;不得当实测
CAP_019,(外省规则反推·海口4㎡),规划参照非山东店,海口规则反推,外省参照,300,,人均使用建筑面积≥4㎡规则反推,,75,,,,,,,,,,,,,,,,,http://hkyshj.haikou.gov.cn/hgzd/zdcjhgqd/xwtgjg/202607/t1534372.shtml,06_evidence/raw/haikou_compliance_2026.html,,2026-09-16T04:47:36-07:00,官方事实,medium,capacity_derived_from_haikou_4sqm_rule_not_a_store;planning_reference_only,非门店实测;用于对照山东未规定生均面积时的外省上限参照
CAP_020,(外省规则反推·深圳4㎡),规划参照,深圳规则反推,外省参照,300,,人均建筑面积≥4㎡且场所≥80㎡,,75,,,,,,,,,,,,,,,,,http://www.sz.gov.cn/gkmlpt/content/7/7786/post_7786617.html?jump=false,06_evidence/raw/shenzhen_tuoguan_method.html,,2026-09-16T04:47:36-07:00,官方事实,medium,capacity_derived_from_shenzhen_4sqm_rule;planning_reference_only,非门店实测;planning_reference_only_outer_province
