record_id,topic,institution_or_school,metric,value,unit,school_area,distance_band,price_kind,source_type,source_url,screenshot_path,publish_or_update_time,crawl_time,old,confidence,verification_status,notes
YS_SCH_001,school_enrollment_2026,济南市营市东街小学,2026一年级计划班数,8,班,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjd/channel_6389a745375991828263d29e/doc_6a228a104c48b9888dc2d3e3.html,,2026-06-05,2026-09-16T04:46:32-07:00,0,high,gov_2026_plan_ok,槐荫区计划表序号25; raw=01_yingshidongjie/raw/huaiyin_enroll_plan_2026.html
YS_SCH_002,school_enrollment_2026,济南市营市东街小学,2026计划最大班额,45,人/班,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjd/channel_6389a745375991828263d29e/doc_6a228a104c48b9888dc2d3e3.html,,2026-06-05,2026-09-16T04:46:32-07:00,0,high,gov_2026_plan_ok,
YS_SCH_003,school_enrollment_2026,济南市营市东街小学,2026一年级计划学位,360,人,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjd/channel_6389a745375991828263d29e/doc_6a228a104c48b9888dc2d3e3.html,,2026-06-05,2026-09-16T04:46:32-07:00,0,high,gov_2026_plan_ok,
YS_SCH_004,school_scale,济南市营市东街小学,在校生总数_2025统计,2169,人,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnsysdjxxag/channel_jns_huaiyinquqjyhtyjdjnsysdjxxag_6d/doc_67f898cbb2eff34a156334cb.html,,2025-04-11,2026-09-16T04:46:32-07:00,0,high,gov_2025_stats_ok,一年级474/二358/三356/四358/五306/六317;非2026在校生
YS_SCH_005,school_scale,济南市营市东街小学,教职工_2025统计,131,人,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnsysdjxxag/channel_jns_huaiyinquqjyhtyjdjnsysdjxxag_6d/doc_67f898cbb2eff34a156334cb.html,,2025-04-11,2026-09-16T04:46:32-07:00,0,high,gov_2025_stats_ok,
YS_SCH_006,dual_campus,济南市营市东街小学,校区结构,东西两个校区,,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnsysdjxxag/channel_jns_huaiyinquqjyhtyjdjnsysdjxxag_6d/doc_67f898cbb2eff34a156334cb.html,,2025-04-11,2026-09-16T04:46:32-07:00,0,high,gov_2025_stats_ok,占地29977.3㎡/建筑26234.33㎡;普通教室50;东校区经六路315号、西校区营市街158号
YS_SCH_007,dual_campus,济南市营市东街小学,普通教室数,50,间,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnsysdjxxag/channel_jns_huaiyinquqjyhtyjdjnsysdjxxag_6d/doc_67f898cbb2eff34a156334cb.html,,2025-04-11,2026-09-16T04:46:32-07:00,0,high,gov_2025_stats_ok,
YS_SCH_008,lunch_nap_afterschool,济南市营市东街小学,校级午餐_午休_放学时间,未在本次公开页找到,,营市东街,,,官方事实,http://www.huaiyin.gov.cn/gongkai/site_huaiyinquqjyhtyjdjnsysdjxxag/channel_jns_huaiyinquqjyhtyjdjnsysdjxxag_6d/doc_67f898cbb2eff34a156334cb.html,,2025-04-11,2026-09-16T04:46:32-07:00,0,medium,not_publicly_found,reuse_tag=v1_07_gov_reverify;区级有第三方课后服务规范但本校细则未公开
YS_SCH_009,enrollment_process,济南市营市东街小学,2026信息采集窗口,2026-06-08至06-16,,营市东街,,,官方事实,https://www.jinantimes.com.cn/news-42-5268381.html,,2026-06,2026-09-16T04:46:32-07:00,0,high,gov_announcement_ok,
YS_POI_001,nearby_tuoguan_poi,天天小饭桌,存在性_地址,济南市槐荫区营市东街8号楼1-101,,营市东街,≤300m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_002,nearby_tuoguan_poi,放心托教,存在性_地址,济南市槐荫区营市街112号,,营市东街,≤500m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_003,nearby_tuoguan_poi,平平小饭桌,存在性_地址,济南市槐荫区营市街24号1—102,,营市东街,≤500m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_004,nearby_tuoguan_poi,快乐作文小饭桌,存在性_地址,济南市槐荫区营市东街24号2—101,,营市东街,≤300m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_005,nearby_tuoguan_poi,爱心托管,存在性_地址,济南市槐荫区营市东街27号3—103,,营市东街,≤300m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_006,nearby_tuoguan_poi,阳光托教,存在性_地址,济南市槐荫区营市街36号,,营市东街,≤500m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_007,nearby_tuoguan_poi,贝朗优培小饭桌,存在性_地址,济南市新世界阳光花园18号楼3单元101,,营市东街,≤800m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_008,nearby_tuoguan_poi,燎原托管,存在性_地址,济南市新世界阳光小区西区21号楼4单元301室,,营市东街,≤800m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_009,nearby_tuoguan_poi,小牛津学生家园,存在性_地址,济南市经六路532号1单元101室,,营市东街,≤500m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_010,nearby_tuoguan_poi,图书馆小饭桌,存在性_地址,济南市新世界阳光花园西区26号楼3单元101室,,营市东街,≤800m,,地图列表复用,http://jn.bendibao.com/edu/2017918/47248.shtm,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_011,nearby_tuoguan_poi,金牌小饭桌,存在性_地址,济南市槐荫区营市东街28号,,营市东街,≤300m,,地图列表复用,https://haoweizhi.com/huaiyinqu2/jiaoyupeixun/bfhrqfrbiqds5chf.html,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_012,nearby_tuoguan_poi,花儿朵朵托辅中心,存在性_地址,营市东街25号,,营市东街,≤300m,,地图列表复用,https://www.dianping.com/shop/l2a3jfI9AM8YGvQC,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_POI_013,nearby_tuoguan_poi,致远托管,存在性_地址,营市街槐荫街36号,,营市东街,≤500m,,地图列表复用,https://www.dianping.com/shop/H8k6oFqedjN26KQf,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
