institution_id,platform,account_id,nickname,url,match_confidence,match_reason,role_guess,source_type,screenshot_path,verification_status,collected_at
inst_4a96cb7250,douyin,82936373898,壹心托管济南校区,https://www.douyin.com/user/MS4wLjABAAAAaUBMtA-9SvagxcGJfXlgx1eQ3S1oGfkTKxnmmtUJdH8MPRQLIdeQwSV6JfHrTsaO,B,指定目标抖音账号；主页可见昵称/粉丝/作品，但公开电话与精确门店地址未展示，故 match_confidence=B（非官方工商核验）,brand_or_campus_account,douyin_profile,08_raw_screenshots/profile_full_01.png,public_visible,2026-09-16T05:36:00Z
inst_411a109d0e,douyin,douyin_comp_204a3b941ebf4a17,94年小王｜盘锦初中晚自习托管,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_271400b706,douyin,douyin_comp_cac3b8ec30e1bcdb,东街小学欣悦托辅,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_7ae829e9bb,douyin,douyin_comp_f9be00105c45008f,乐思托辅,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_d2c2670203,douyin,douyin_comp_d061d305505fcbc0,六六托管中心闫老师🙋（高端，专业）,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_2c4ef2679d,douyin,douyin_comp_355a9be2d34beab3,十七小学繁星托管,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_a4a265e96a,douyin,douyin_comp_f6bd6b511cba337e,博尔安亲托管中心官方号,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_386af912d3,douyin,douyin_comp_e5aceb77675c6f72,安馨托教｜西站路小学 52中午晚托,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_d76aafea8b,douyin,douyin_comp_c728000e6b72a9f0,开托管的80后,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_ee11007131,douyin,douyin_comp_da178a14cfd3daad,悦维美刻托管济南站,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_439720f86b,douyin,douyin_comp_29b53b9b46699e8c,新智托管,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_c4b547ad30,douyin,douyin_comp_b2fcb0520b2a9622,泉海托管,,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
inst_7f83436a76,douyin,douyin_comp_8ff3bfa3981b6c40,济南书墨托管李老师,https://www.douyin.com/user/MS4wLjABAAAA-XE1-eX-ShMbHMdNFxFd9rBmyxb8UFySlyvYsFcyC7Y,B,济南相关关键词搜索命中的托管向抖音账号；无门店地址/电话强一致证据，作为候选机构 B,candidate_account,douyin_search,,unverified,2026-09-15T23:07:00-07:00
