institution_id,official_name,brand_name,brand_short,district,address,phone,lat,lng,near_schools,school_area_id,source_type,source_urls,screenshot_path,verification_status,match_confidence,rating,review_count,platform_poi_id,notes,collected_at
inst_cf39ee2f13,,金苹果小饭桌,金苹果,槐荫区,济南市槐荫区绿地泉景园1期8号楼302室,,,,济南市槐荫区泉新学校,area_quanxin,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_5849de727e02,seeded_from_poi; platform=baidu; search_query=济南市槐荫区泉新学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_af6efe2bb1,,新星小饭桌,新星,槐荫区,济南市槐荫区绿地泉景园9号楼102室,,,,济南市槐荫区泉新学校,area_quanxin,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_125e4e2d5057,seeded_from_poi; platform=baidu; search_query=济南市槐荫区泉新学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_c295027521,,博乐少儿托管所中心,博乐少儿所中心,槐荫区,济南市槐荫区绿地泉景园二期7号楼1单元202,,,,济南市槐荫区泉新学校,area_quanxin,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_7586d2c955d1,seeded_from_poi; platform=baidu; search_query=济南市槐荫区泉新学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_d38b7c1ef0,,天天小饭桌,天天,槐荫区,济南市槐荫区营市东街8号楼1-101,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm|https://haoweizhi.com/huaiyinqu2/jiaoyupeixun/3ab5hifkkqds5chf.html,,unverified_public_list,A,,,baidu_77dc0531ad21,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_ad40f6c9c7,,放心托教,放心,槐荫区,济南市槐荫区营市街112号,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_534a688eecee,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_f7b0969938,,平平小饭桌,平平,槐荫区,济南市槐荫区营市街24号1—102,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_2c03c4da11e6,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_3e9491af2d,,快乐作文小饭桌,快乐作文,槐荫区,济南市槐荫区营市东街24号2—101,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_5a02ec619b1f,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_6700667db9,,爱心托管,爱心,槐荫区,济南市槐荫区营市东街27号3—103,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_3fa937ddcad4,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_cb41c3ada5,,阳光托教,阳光,槐荫区,济南市槐荫区营市街36号,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_71994bdb4108,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_a97006155a,,贝朗优培小饭桌,贝朗优培,,济南市新世界阳光花园18号楼3单元101,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_6fbcddb61f1d,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_8c41d877be,,燎原托管,燎原,,济南市新世界阳光小区西区21号楼4单元301室,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_6caa2cf784da,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_d089fa0987,,小牛津学生家园,小牛津学生家园,,济南市经六路532号1单元101室,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_bc02bd7c4a80,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_1de2c7052b,,图书馆小饭桌,图书馆,,济南市新世界阳光花园西区26号楼3单元101室,,,,济南市营市东街小学,area_yingdong,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_698455b7dc22,seeded_from_poi; platform=baidu; search_query=济南市营市东街小学 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_14184ca977,,槐荫向阳花小饭桌,槐荫向阳花,槐荫区,济南市经四路542号2-2-102室,,,,济南市槐荫区实验学校,area_huaiyin_shiyan,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_951399682031,seeded_from_poi; platform=baidu; search_query=济南市槐荫区实验学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_5107b301f8,,喜洋洋小饭桌,喜洋洋,槐荫区,济南市经四路546号101室,,,,济南市槐荫区实验学校,area_huaiyin_shiyan,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_955fa7163bce,seeded_from_poi; platform=baidu; search_query=济南市槐荫区实验学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_0c50fbbf72,,金色阳光小饭桌,金色阳光,槐荫区,济南市匡山小区67-3-101,,,,济南市槐荫区实验学校,area_huaiyin_shiyan,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_018195d88ed0,seeded_from_poi; platform=baidu; search_query=济南市槐荫区实验学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_ba258dbe64,,起航小饭桌,起航,槐荫区,济南市匡山小区4-2-102,,,,济南市槐荫区实验学校,area_huaiyin_shiyan,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_e5688182a545,seeded_from_poi; platform=baidu; search_query=济南市槐荫区实验学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_e4f5a506a9,,向日葵小饭桌,向日葵,槐荫区,济南市匡山小区8-2-102,,,,济南市槐荫区实验学校,area_huaiyin_shiyan,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_890ba895510a,seeded_from_poi; platform=baidu; search_query=济南市槐荫区实验学校 小饭桌 托管,2026-09-15T22:40:00-07:00
inst_7badda040a,,放心小饭桌(匡山),放心,槐荫区,济南市匡山小区64-5-102,,,,济南市槐荫区实验学校,area_huaiyin_shiyan,map_list,http://jn.bendibao.com/edu/2017918/47248.shtm,,unverified_public_list,A,,,baidu_398da4b69508,seeded_from_poi; platform=baidu; search_query=济南市槐荫区实验学校 小饭桌 托管,2026-09-15T22:40:00-07:00
