platform,source_type,source_id,account_or_poi,price_text,price_value,unit,service_item,grade_range,raw_quote,evidence_path,collected_at,verification_status,notes
baidu,news,iqilu_20180508,济南小饭桌行业访谈(汇才/匿名店),只吃午饭一个月550元；下午放学托管一个月700元,550,元/月,午餐小饭桌,小学,如果只吃午饭，一个月550元，如果下午放学需要托管，一个月700元，肯定比在学校吃配餐要贵，但是吃得好而且能睡觉。,web:https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,2026-09-15T22:40:00-07:00,,
baidu,news,iqilu_20180508_schoolmeal,汇才学校配餐对照,小学每餐13元；中学13.5元,13,元/餐,学校配餐对照,小学/中学,小学是每餐13元;中学是13.5元，都是两荤两素，吃的干净也管饱，家长能放心。,web:https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,2026-09-15T22:40:00-07:00,,
baidu,article,chocolate_ranch_ref,巧克力牧场托管教育(甸柳，非目标校门口，价格参考),中午小饭桌580元/月；下午小饭桌380元/月,580,元/月,中午小饭桌(接送+午餐+午休),中小学,中午小饭桌：午餐（三菜一汤 水果） 午休 绘本阅读(收费标准:580元/月)...下午小饭桌：晚餐 水果 作业辅导 绘本故事(收费标准:380元/月),web:http://www.ywtds.com/school/9057/,2026-09-15T22:40:00-07:00,,
dianping,group_buy_list,H7t52d8VHzGF40fm,迪诺天才学习方法(槐荫校区),仅售1元，价值99元【初中】初一初二初三秋季班｜学习规划,1,元,团购/体验价(未核验有效期),,仅售1元，价值99元【初中】初一初二初三秋季班｜学习规划,http://t.dianping.com/deal/1658527347,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,H5fLBkvuuGOGraOm,大智教育·中学生全科辅导(槐荫分校),仅售1.9元，价值199元高考/中考志愿填报咨询,1.9,元,团购/体验价(未核验有效期),,仅售1.9元，价值199元高考/中考志愿填报咨询,http://t.dianping.com/deal/1605809264,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,G8P16WpsBSdpCaiZ,学无忧•学课优小初高一站式提升规划中心(和谐广场校区),仅售1元，价值99元暑期·高中数学｜英语｜语文1v1试听40分钟,1,元,团购/体验价(未核验有效期),,仅售1元，价值99元暑期·高中数学｜英语｜语文1v1试听40分钟,http://t.dianping.com/deal/1661229054,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,G7jtBBZ8DUPGQquJ,尚学教育·初高中1对1辅导,仅售29.9元，价值240元【暑假】初中·地理体验课,29.9,元,团购/体验价(未核验有效期),,仅售29.9元，价值240元【暑假】初中·地理体验课,http://t.dianping.com/deal/1123308788,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,H9ON85jDtXWcUlIi,丰瞬托育中心(机车园),仅售2480元，价值2800元婴幼衔接,2480,元,团购/体验价(未核验有效期),,仅售2480元，价值2800元婴幼衔接,http://t.dianping.com/deal/841372186,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,l5fFcNw9K37HVvwv,学易佳素质成长中心(连城国际校区),仅售29.9元，价值299元【呦呦博物实验室】科学实验探索体验课1节,29.9,元,团购/体验价(未核验有效期),,仅售29.9元，价值299元【呦呦博物实验室】科学实验探索体验课1节,http://t.dianping.com/deal/963344168,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),仅售599元，价值800元【幼小衔接小学晚托】1周 | 【新客专享】10次正音训练,599,元,团购/体验价(未核验有效期),,仅售599元，价值800元【幼小衔接小学晚托】1周 | 【新客专享】10次正音训练,http://t.dianping.com/deal/1664209224,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,G7zHiFPttcZaKigR,励志文化培训学校,仅售99元，价值2399元2-6年级全科体验6节｜文化课试听,99,元,团购/体验价(未核验有效期),,仅售99元，价值2399元2-6年级全科体验6节｜文化课试听,http://t.dianping.com/deal/1589554525,2026-09-16T00:05:00-07:00,unverified_listing,公开搜索结果团购文案；未核验详情页有效期。
dianping,group_buy_list,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),【小学晚托】1周｜【新客专享】五天全托体验（午＋晚）,197,元,团购/体验价(未核验有效期),,【小学晚托】1周｜【新客专享】五天全托体验（午＋晚）,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:11:00-07:00,unverified_listing,详情页团购模块公开文案；未点击购买。
dianping,group_buy_list,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),【小学晚托】1次｜【新客专享】一次精美餐食体验,19.9,元,团购/体验价(未核验有效期),,【小学晚托】1次｜【新客专享】一次精美餐食体验,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:11:00-07:00,unverified_listing,详情页团购模块公开文案；未点击购买。
