platform,source_type,source_id,account_or_poi,service_type,time_window,lunch,nap,pickup,homework,teacher_student_ratio,venue,promo,trial,pain_points,pitch,differentiator,raw_quote,evidence_path,collected_at,verification_status
baidu,poi,baidu_e7e411931d0e,济南金贝育童校外托管服务中心,小饭桌/托管,午餐+下午监督学习,是,,,监督学习,,匡山小区66-4-101,,,,专对小学生提供午餐，下午监督学习，为一体的综合餐饮教育机构,,济南金贝育童校外托管服务中心是专对小学生提供午餐，下午监督学习，为一体的综合餐饮教育机构。,04_maps_reviews/raw_html/jinbeiyutong.html,2026-09-15T22:40:00-07:00,
gaode,poi,gaode_B0HA67DURI,贝尔安亲托管中心济微校区,托管中心,,,,,,,济微中学南门旁,,,,,连锁托管品牌(贝尔安亲),贝尔安亲托管中心济微校区 - 济南市槐荫区 - 科教文化服务;培训机构 | 电话18354166398,04_maps_reviews/gaode/B0HA67DURI.html,2026-09-15T22:40:00-07:00,
baidu,article,yangliu_summer_tuoguan,杨柳春风×济南青少年宫暑期托管班,社区暑期托管,暑期,,,,作业辅导,,杨柳春风泉城书吧二楼,青春社区试点,,双职工暑期看护,将暑期托管班开在家门口,青少年宫统一招生+社区场地,由济南青少年宫统一进行招生，杨柳春风协助办理的暑期托管班，于杨柳春风泉城书吧二楼正式开班...作业辅导、劳动实践、艺术培养、兴趣阅读、体育锻炼、公益活动,web:https://www.culturechina.cn/house/167089.html,2026-09-15T22:40:00-07:00,
baidu,news,iqilu_20180508,济南小饭桌典型服务包(新闻访谈),午托+晚托,午餐+午睡；放学后托管至约17:30对照,是,是,,,,居民楼改造(~70㎡两室一厅),,,学校配餐+延时服务分流客源,吃得好而且能睡觉,相对学校配餐可午睡,房间总面积大约70平，两室一厅的格局，客厅是学生吃饭的地方，两间卧室改为男寝和女寝...如果只吃午饭，一个月550元，如果下午放学需要托管，一个月700元,web:https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,2026-09-15T22:40:00-07:00,
dianping,dianping_category,H7t52d8VHzGF40fm,迪诺天才学习方法(槐荫校区),课后辅导,,,,,,,五院,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/H7t52d8VHzGF40fm,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,H5fLBkvuuGOGraOm,大智教育·中学生全科辅导(槐荫分校),课后辅导,,,,,,,西市场,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/H5fLBkvuuGOGraOm,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,k7mlUtpnxRHO1aM7,小优伴学中小学智习托管中心,自习室,,,,,,,西市场,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/k7mlUtpnxRHO1aM7,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,G8P16WpsBSdpCaiZ,学无忧•学课优小初高一站式提升规划中心(和谐广场校区),课后辅导,,,,,,,和谐广场,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/G8P16WpsBSdpCaiZ,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,H8k6oFqedjN26KQf,致远托管,中小学课后托管,,,,,,,五院,,,,,,详情页公开分类/文字；不扩展未证实服务。,https://www.dianping.com/shop/H8k6oFqedjN26KQf,2026-09-16T00:11:00-07:00,category_label_only
dianping,dianping_category,k4txQZ13B3t5xIxa,阳光托教(营市街),中小学课后托管,,,,,,,五院,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/k4txQZ13B3t5xIxa,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,G7jtBBZ8DUPGQquJ,尚学教育·初高中1对1辅导,课后辅导,,,,,,,和谐广场,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/G7jtBBZ8DUPGQquJ,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,H9ON85jDtXWcUlIi,丰瞬托育中心(机车园),托班/托儿所,,,,,,,张庄路/森林公园,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/H9ON85jDtXWcUlIi,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,l5fFcNw9K37HVvwv,学易佳素质成长中心(连城国际校区),课后辅导,,,,,,,和谐广场,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/l5fFcNw9K37HVvwv,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),中小学课后托管,,,,,,,市中区,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,G4DAYApiVQZCmwtK,朴新天材教育(槐荫校区),课后辅导,,,,,,,五院,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/G4DAYApiVQZCmwtK,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,FG1FRyVhfdsSfqn5,贝尔安亲(济微中学校区),中小学课后托管,,,,,,,五院,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/FG1FRyVhfdsSfqn5,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,G7zHiFPttcZaKigR,励志文化培训学校,课后辅导,,,,,,,五院,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/G7zHiFPttcZaKigR,2026-09-16T00:05:00-07:00,category_label_only
dianping,dianping_category,l4507Z6EjlDFQl7r,课小贝托管(昆仑校区),中小学课后托管,,,,,,,西市场,,,,,,详情页公开分类/文字；不扩展未证实服务。,https://www.dianping.com/shop/l4507Z6EjlDFQl7r,2026-09-16T00:11:00-07:00,category_label_only
dianping,dianping_category,G9eP2eOXJCS5fsca,汇文教育(槐荫校区),课后辅导,,,,,,,和谐广场,,,,,,公开搜索结果分类；不将分类扩展为未证实服务。,https://www.dianping.com/shop/G9eP2eOXJCS5fsca,2026-09-16T00:05:00-07:00,category_label_only
